BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
118.6821	-8.4469	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	DONGGO 	SNPP	2020-08-04	05:55:59.000000		
118.6654	-8.4412	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	DONGGO 	SNPP	2020-08-04	05:55:59.000000		
118.1801	-8.3484	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	NOAA20	2020-08-04	05:06:11.000000		
118.1840	-8.3493	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	NOAA20	2020-08-04	05:06:11.000000		
118.1787	-8.3500	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	NOAA20	2020-08-04	05:06:11.000000		
118.1736	-8.3507	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	NOAA20	2020-08-04	05:06:11.000000		
118.1781	-8.3451	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	NOAA20	2020-08-04	05:06:11.000000		
118.3124	-8.3954	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	SNPP	2020-08-04	05:55:59.000000		
118.1841	-8.3468	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	SNPP	2020-08-04	05:55:59.000000		
118.1788	-8.3477	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	SNPP	2020-08-04	05:55:59.000000		
118.1735	-8.3486	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	SNPP	2020-08-04	05:55:59.000000		
118.1835	-8.3428	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	SNPP	2020-08-04	05:55:59.000000		
118.1781	-8.3437	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	SNPP	2020-08-04	05:55:59.000000		
118.2144	-8.3294	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	SNPP	2020-08-04	05:55:59.000000		
118.1717	-8.3517	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	SNPP	2020-08-04	05:55:59.000000		
118.1870	-8.3451	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	SANGGAR 	SNPP	2020-08-04	05:55:59.000000		
