BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
108.2959	3.8494	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN TIMUR"	SNPP	2021-02-24	12:25:10		
108.2990	3.8499	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN TIMUR"	SNPP	2021-02-24	12:25:10		
108.2981	3.8464	9	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN TIMUR"	SNPP	2021-02-24	12:25:10		
108.2998	3.8447	9	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN TIMUR"	SNPP	2021-02-24	12:25:10		
108.2967	3.8442	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN TIMUR"	SNPP	2021-02-24	12:25:10		
108.2981	3.8453	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN TIMUR"	SNPP	2021-02-25	01:09:04		
108.2950	3.8459	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN TIMUR"	SNPP	2021-02-24	12:25:10		
108.2211	4.1766	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN TIMUR"	SNPP	2021-02-24	12:25:10		
100.8643	-0.5868	8	SUMATERA	"SUMATERA BARAT"	SIJUNJUNG	KOTOTUJUH	AQUA	2021-02-24	13:31:00		
100.2510	2.0513	8	SUMATERA	"SUMATERA UTARA"	"LABUHAN BATU SELATAN"	"KAMPUNG RAKYAT"	SNPP	2021-02-25	01:09:04		
99.8488	2.6837	8	SUMATERA	"SUMATERA UTARA"	"LABUHANBATU UTARA"	"KWALUH HILIR"	SNPP	2021-02-25	01:09:04		
99.8459	2.6842	8	SUMATERA	"SUMATERA UTARA"	"LABUHANBATU UTARA"	"KWALUH HILIR"	SNPP	2021-02-25	01:09:04		
99.8495	2.6888	8	SUMATERA	"SUMATERA UTARA"	"LABUHANBATU UTARA"	"KWALUH HILIR"	SNPP	2021-02-25	01:09:04		
98.5240	3.7291	8	SUMATERA	"SUMATERA UTARA"	DELISERDANG	"HAMPARAN PERAK"	AQUA	2021-02-24	13:28:00		
98.2165	3.0674	8	SUMATERA	"SUMATERA UTARA"	KARO	"TIGA BINANGA"	SNPP	2021-02-25	01:09:04		
98.2367	3.0703	8	SUMATERA	"SUMATERA UTARA"	KARO	"TIGA BINANGA"	SNPP	2021-02-25	01:09:04		
100.3204	2.3101	8	SUMATERA	"SUMATERA UTARA"	LABUHANBATU	"PANEI TENGAH"	SNPP	2021-02-25	01:09:04		
105.1751	-5.2224	8	SUMATERA	LAMPUNG	"LAMPUNG SELATAN"	NATAR	SNPP	2021-02-25	01:09:04		
102.9817	0.2291	8	SUMATERA	RIAU	"INDRAGIRI HILIR"	ENOK	AQUA	2021-02-24	13:31:00		
103.2242	0.1257	9	SUMATERA	RIAU	"INDRAGIRI HILIR"	ENOK	TERRA	2021-02-24	10:36:00		
101.9077	1.2962	8	SUMATERA	RIAU	BENGKALIS	"BUKIT BATU"	TERRA	2021-02-24	10:35:00		
101.1954	1.9553	8	SUMATERA	RIAU	DUMAI	"DUMAI BARAT"	AQUA	2021-02-24	13:31:00		
101.2715	1.7114	8	SUMATERA	RIAU	DUMAI	"DUMAI BARAT"	AQUA	2021-02-24	13:31:00		
102.8939	0.2557	8	SUMATERA	RIAU	PELALAWAN	"KUALA KAMPAR"	SNPP	2021-02-25	01:09:04		
101.8102	0.8698	8	SUMATERA	RIAU	SIAK	"SIAK SRI INDRAPURA"	AQUA	2021-02-24	13:31:00		
101.6591	0.7453	8	SUMATERA	RIAU	SIAK	"SIAK SRI INDRAPURA"	AQUA	2021-02-24	13:31:00		
102.1991	0.9982	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	AQUA	2021-02-24	13:31:00		
102.1876	1.0062	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	AQUA	2021-02-24	13:31:00		
102.1991	1.0017	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	SNPP	2021-02-25	01:09:04		
102.2035	1.0053	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	SNPP	2021-02-25	01:09:04		
102.1997	1.0059	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	SNPP	2021-02-25	01:09:04		
102.1953	1.0023	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	SNPP	2021-02-25	01:09:04		
102.1891	1.0118	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	SNPP	2021-02-25	01:09:04		
102.1897	1.0160	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	SNPP	2021-02-25	01:09:04		
102.1973	1.0148	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	SNPP	2021-02-25	01:09:04		
102.1966	1.0106	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	SNPP	2021-02-25	01:09:04		
102.2004	1.0100	8	SUMATERA	RIAU	SIAK	"SUNGAI APIT"	SNPP	2021-02-25	01:09:04		
